,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
LOC647309|647309,ENSG00000205835,GMNC,647309,3,1.1,0.00033,0.0063
TRIM59|286827,ENSG00000213186,TRIM59,286827,3,-0.58,0.00033,0.0064
AMH|268,ENSG00000104899,AMH,268,19,-0.86,0.00033,0.0064
PUM2|23369,ENSG00000055917,PUM2,23369,2,-0.19,0.00033,0.0064
PAQR6|79957,ENSG00000160781,PAQR6,79957,1,-0.61,0.00033,0.0064
DDX28|55794,ENSG00000182810,DDX28,55794,16,0.26,0.00033,0.0064
EXOSC4|54512,ENSG00000178896,EXOSC4,54512,8,0.44,0.00033,0.0064
FTL|2512,ENSG00000087086,FTL,2512,19,0.49,0.00034,0.0064
UGT1A9|54600,ENSG00000241119,UGT1A9,54600,2,1.1,0.00034,0.0064
GTPBP10|85865,ENSG00000105793,GTPBP10,85865,7,0.22,0.00034,0.0064
PALLD|23022,ENSG00000129116,PALLD,23022,4,0.59,0.00034,0.0065
FAM153A|285596,ENSG00000170074,FAM153A,285596,5,-0.89,0.00034,0.0065
PACRG|135138,ENSG00000112530,PACRG,135138,6,0.94,0.00034,0.0065
AKR1B10|57016,ENSG00000198074,AKR1B10,57016,7,1.8,0.00034,0.0065
DAB2IP|153090,ENSG00000136848,DAB2IP,153090,9,-0.4,0.00034,0.0065
SIAH2|6478,ENSG00000181788,SIAH2,6478,3,0.36,0.00034,0.0065
TSPYL3|128854,NA,NA,NA,NA,-0.69,0.00034,0.0065
MFSD3|113655,ENSG00000167700,MFSD3,113655,8,0.47,0.00035,0.0066
DNAJB6|10049,ENSG00000105993,DNAJB6,10049,7,0.21,0.00035,0.0066
RBM4|5936,ENSG00000173933,RBM4,5936,11,-0.24,0.00035,0.0066
ABCB4|5244,ENSG00000005471,ABCB4,5244,7,0.92,0.00035,0.0066
USP6|9098,ENSG00000129204,USP6,9098,17,-0.33,0.00035,0.0067
BCL7A|605,ENSG00000110987,BCL7A,605,12,-0.3,0.00036,0.0067
STS|412,ENSG00000101846,STS,412,X,-0.55,0.00036,0.0067
