ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
LRRC55|219527,ENSG00000183908,LRRC55,219527,11,-0.81,9.3e-06,0.002
LRRTM1|347730,ENSG00000162951,LRRTM1,347730,2,-1.1,9.5e-06,0.002
IL1F7|27178,ENSG00000125571,IL37,27178,2,-1.5,1.1e-05,0.0022
PITRM1|10531,ENSG00000107959,PITRM1,10531,10,0.23,1.2e-05,0.0025
EHD1|10938,ENSG00000110047,EHD1,10938,11,-0.28,1.3e-05,0.0025
RASL11A|387496,ENSG00000122035,RASL11A,387496,13,-0.5,1.3e-05,0.0025
FADS6|283985,ENSG00000172782,FADS6,283985,17,-1.1,1.3e-05,0.0026
MFSD4|148808,ENSG00000174514,MFSD4,148808,1,-0.89,1.3e-05,0.0026
LDLRAP1|26119,ENSG00000157978,LDLRAP1,26119,1,-0.26,1.4e-05,0.0027
LOC284578|284578,NA,NA,NA,NA,-0.96,1.4e-05,0.0028
KIAA1549|57670,ENSG00000122778,KIAA1549,57670,7,0.49,1.6e-05,0.003
KCNK5|8645,ENSG00000164626,KCNK5,8645,6,-0.59,1.7e-05,0.0031
SOCS1|8651,ENSG00000185338,SOCS1,8651,16,-0.42,1.7e-05,0.0032
C18orf1|753,ENSG00000168675,LDLRAD4,753,18,-0.44,1.8e-05,0.0032
GFRA1|2674,ENSG00000151892,GFRA1,2674,10,-0.84,1.8e-05,0.0032
RPN2|6185,ENSG00000118705,RPN2,6185,20,0.22,1.8e-05,0.0032
STAM|8027,ENSG00000136738,STAM,8027,10,0.19,1.8e-05,0.0032
DHTKD1|55526,ENSG00000181192,DHTKD1,55526,10,0.26,1.9e-05,0.0034
CYP4F3|4051,ENSG00000186529,CYP4F3,4051,19,1.3,2e-05,0.0035
RPRD1A|55197,ENSG00000141425,RPRD1A,55197,18,0.27,2e-05,0.0035
SPRY1|10252,ENSG00000164056,SPRY1,10252,4,-0.32,2e-05,0.0035
RFX2|5990,ENSG00000087903,RFX2,5990,19,-0.42,2.1e-05,0.0035
USP9X|8239,ENSG00000124486,USP9X,8239,X,-0.21,2.1e-05,0.0035
SHROOM4|57477,ENSG00000158352,SHROOM4,57477,X,-0.51,2.2e-05,0.0036
FAM43B|163933,ENSG00000183114,FAM43B,163933,1,-0.5,2.2e-05,0.0036
CDC123|8872,ENSG00000151465,CDC123,8872,10,0.2,2.2e-05,0.0036
IFNAR1|3454,ENSG00000142166,IFNAR1,3454,21,-0.18,2.4e-05,0.0039
