,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
IL3RA|3563,ENSG00000185291,IL3RA,3563,X,0.72,1.1e-06,0.00042
CST3|1471,ENSG00000101439,CST3,1471,20,0.86,1.2e-06,0.00044
C1QTNF1|114897,ENSG00000173918,C1QTNF1,114897,17,1.1,1.3e-06,0.00046
RIBC1|158787,ENSG00000158423,RIBC1,158787,X,-0.65,1.3e-06,0.00046
ST6GALNAC6|30815,ENSG00000160408,ST6GALNAC6,30815,9,0.44,1.5e-06,5e-04
KCNG3|170850,ENSG00000171126,KCNG3,170850,2,-1.3,1.5e-06,5e-04
GADD45B|4616,ENSG00000099860,GADD45B,4616,19,0.73,1.5e-06,5e-04
SYAP1|94056,ENSG00000169895,SYAP1,94056,X,-0.37,1.6e-06,5e-04
MCOLN3|55283,ENSG00000055732,MCOLN3,55283,1,-1.7,1.7e-06,0.00055
HOXA13|3209,ENSG00000106031,HOXA13,3209,7,-1.6,1.9e-06,0.00058
ZP1|22917,ENSG00000149506,ZP1,22917,11,1.5,1.9e-06,0.00058
MYCBPAP|84073,ENSG00000136449,MYCBPAP,84073,17,-1,2e-06,0.00058
TEX15|56154,ENSG00000133863,TEX15,56154,8,-1.7,2e-06,0.00059
CCDC74A|90557,ENSG00000163040,CCDC74A,90557,2,-0.84,2.2e-06,0.00064
CARD6|84674,ENSG00000132357,CARD6,84674,5,0.83,2.3e-06,0.00065
PRL|5617,ENSG00000172179,PRL,5617,6,-2,2.6e-06,0.00072
EIF1AX|1964,ENSG00000173674,EIF1AX,1964,X,-0.35,3e-06,0.00082
DDX43|55510,ENSG00000080007,DDX43,55510,6,1.7,3e-06,0.00082
ANKRD45|339416,ENSG00000183831,ANKRD45,339416,1,-1.3,3.5e-06,0.00092
RBBP7|5931,ENSG00000102054,RBBP7,5931,X,-0.44,3.6e-06,0.00094
PROM1|8842,ENSG00000007062,PROM1,8842,4,-2.1,3.7e-06,0.00096
TRIM37|4591,ENSG00000108395,TRIM37,4591,17,-0.37,3.9e-06,0.00099
COL5A3|50509,ENSG00000080573,COL5A3,50509,19,1.1,4.4e-06,0.0011
LOC100270746|100270746,NA,NA,NA,NA,-0.94,4.7e-06,0.0012
PDCD7|10081,ENSG00000090470,PDCD7,10081,15,-0.29,5.1e-06,0.0012
MLLT11|10962,ENSG00000213190,MLLT11,10962,1,-0.95,5.2e-06,0.0012
FBF1|85302,ENSG00000281844,FBF1,85302,17,-0.49,5.4e-06,0.0013
LSP1|4046,ENSG00000130592,LSP1,4046,11,1.1,5.5e-06,0.0013
CBX2|84733,ENSG00000173894,CBX2,84733,17,-0.84,5.7e-06,0.0013
C17orf80|55028,ENSG00000141219,C17orf80,55028,17,-0.33,5.7e-06,0.0013
PRPSAP1|5635,ENSG00000161542,PRPSAP1,5635,17,-0.31,6e-06,0.0013
ISOC1|51015,ENSG00000066583,ISOC1,51015,5,-0.79,6.2e-06,0.0014
TSGA10|80705,ENSG00000135951,TSGA10,80705,2,-0.85,6.7e-06,0.0015
MCM6|4175,ENSG00000076003,MCM6,4175,2,-0.4,6.9e-06,0.0015
TNFRSF1B|7133,ENSG00000028137,TNFRSF1B,7133,1,0.87,7.4e-06,0.0016
ARL17A|51326,ENSG00000228696,ARL17B,51326,17,-0.41,7.5e-06,0.0016
MAT2A|4144,ENSG00000168906,MAT2A,4144,2,-0.34,8.2e-06,0.0017
FGFR1OP|11116,ENSG00000213066,FGFR1OP,11116,6,-0.41,8.5e-06,0.0017
MRPL10|124995,ENSG00000159111,MRPL10,124995,17,-0.29,8.7e-06,0.0017
GGTA1|2681,ENSG00000204136,GGTA1P,2681,9,0.92,1e-05,0.002
C9orf122|158228,NA,NA,NA,NA,-1.4,1.1e-05,0.0021
NBLA00301|79804,NA,NA,NA,NA,-2.1,1.2e-05,0.0022
PYGO2|90780,ENSG00000163348,PYGO2,90780,1,-0.28,1.2e-05,0.0022
TRAPPC2|6399,ENSG00000196459,TRAPPC2,6399,X,-0.43,1.2e-05,0.0022
FBLN2|2199,ENSG00000163520,FBLN2,2199,3,1.5,1.2e-05,0.0023
RCN3|57333,ENSG00000142552,RCN3,57333,19,1.1,1.2e-05,0.0023
MOBKL2C|148932,ENSG00000142961,MOB3C,148932,1,0.37,1.3e-05,0.0023
CPM|1368,ENSG00000135678,CPM,1368,12,0.86,1.4e-05,0.0025
CTPS2|56474,ENSG00000047230,CTPS2,56474,X,-0.4,1.4e-05,0.0026
GAL3ST3|89792,ENSG00000175229,GAL3ST3,89792,11,-1.6,1.4e-05,0.0026
GEMIN8|54960,ENSG00000046647,GEMIN8,54960,X,-0.36,1.5e-05,0.0026
MARCH3|115123,ENSG00000173926,MARCH3,115123,5,0.72,1.5e-05,0.0026
C10orf54|64115,ENSG00000107738,C10orf54,64115,10,0.8,1.5e-05,0.0026
MSH2|4436,ENSG00000095002,MSH2,4436,2,-0.4,1.5e-05,0.0026
TRIM45|80263,ENSG00000134253,TRIM45,80263,1,-0.76,1.5e-05,0.0026
DSCR6|53820,ENSG00000183145,RIPPLY3,53820,21,-1.4,1.6e-05,0.0026
JPH4|84502,ENSG00000092051,JPH4,84502,14,-1.4,1.6e-05,0.0026
STRBP|55342,ENSG00000165209,STRBP,55342,9,-0.47,1.6e-05,0.0026
DNAJB12|54788,ENSG00000148719,DNAJB12,54788,10,0.34,1.6e-05,0.0026
VSIG10|54621,ENSG00000176834,VSIG10,54621,12,-0.52,1.6e-05,0.0026
SH3GL2|6456,ENSG00000107295,SH3GL2,6456,9,-1.6,1.6e-05,0.0026
DDIT4|54541,ENSG00000168209,DDIT4,54541,10,0.74,1.7e-05,0.0026
LOC646214|646214,NA,NA,NA,NA,-0.53,1.8e-05,0.0027
RBM14|10432,ENSG00000239306,RBM14,10432,11,-0.19,1.9e-05,0.0029
YIPF1|54432,ENSG00000058799,YIPF1,54432,1,0.36,1.9e-05,0.0029
CHRNA5|1138,ENSG00000169684,CHRNA5,1138,15,-0.88,1.9e-05,0.0029
TMEM59|9528,ENSG00000116209,TMEM59,9528,1,0.28,1.9e-05,0.0029
SLC8A2|6543,ENSG00000118160,SLC8A2,6543,19,-1.4,1.9e-05,0.0029
CHD4|1108,ENSG00000111642,CHD4,1108,12,-0.23,2.1e-05,0.003
HERPUD1|9709,ENSG00000051108,HERPUD1,9709,16,0.41,2.1e-05,0.003
RFC4|5984,ENSG00000163918,RFC4,5984,3,-0.46,2.1e-05,0.003
PGM2|55276,ENSG00000169299,PGM2,55276,4,-0.43,2.1e-05,0.0031
CEP78|84131,ENSG00000148019,CEP78,84131,9,-0.36,2.3e-05,0.0033
HLA-E|3133,ENSG00000230254,HLA-E,3133,CHR_HSCHR6_MHC_SSTO_CTG1,0.53,2.4e-05,0.0033
OSTF1|26578,ENSG00000134996,OSTF1,26578,9,0.51,2.4e-05,0.0033
RASSF4|83937,ENSG00000107551,RASSF4,83937,10,0.76,2.4e-05,0.0033
PASK|23178,ENSG00000115687,PASK,23178,2,-0.46,2.4e-05,0.0033
ZRSR2|8233,ENSG00000169249,ZRSR2,8233,X,-0.34,2.4e-05,0.0033
NXNL2|158046,ENSG00000130045,NXNL2,158046,9,-1,2.4e-05,0.0033
HOXC4|3221,ENSG00000198353,HOXC4,3221,12,0.93,2.4e-05,0.0033
KPNB1|3837,ENSG00000108424,KPNB1,3837,17,-0.27,2.5e-05,0.0033
IL32|9235,ENSG00000008517,IL32,9235,16,0.91,2.5e-05,0.0033
HOXD11|3237,ENSG00000128713,HOXD11,3237,2,-1.7,2.5e-05,0.0033
TMEM97|27346,ENSG00000109084,TMEM97,27346,17,-0.51,2.6e-05,0.0033
MTUS2|23281,ENSG00000132938,MTUS2,23281,13,-1.4,2.6e-05,0.0033
RARRES1|5918,ENSG00000118849,RARRES1,5918,3,1.3,2.6e-05,0.0033
TEKT2|27285,ENSG00000092850,TEKT2,27285,1,-1,2.6e-05,0.0033
C10orf55|414236,ENSG00000222047,C10orf55,414236,10,0.97,2.7e-05,0.0034
C1orf74|148304,ENSG00000162757,C1orf74,148304,1,-0.39,2.7e-05,0.0034
TMEM167B|56900,ENSG00000215717,TMEM167B,56900,1,0.28,2.8e-05,0.0034
F11R|50848,ENSG00000158769,F11R,50848,1,0.54,2.8e-05,0.0034
DHRS13|147015,ENSG00000167536,DHRS13,147015,17,-0.58,2.8e-05,0.0034
SKA2|348235,ENSG00000182628,SKA2,348235,17,-0.34,2.9e-05,0.0035
PEX11A|8800,ENSG00000166821,PEX11A,8800,15,-0.47,2.9e-05,0.0035
HS6ST3|266722,ENSG00000185352,HS6ST3,266722,13,-1.8,2.9e-05,0.0035
PARD6B|84612,ENSG00000124171,PARD6B,84612,20,-1,2.9e-05,0.0035
XKR5|389610,ENSG00000275591,XKR5,389610,8,-1.4,3e-05,0.0035
GATSL3|652968,ENSG00000239282,GATSL3,652968,22,0.49,3e-05,0.0035
DNAJC22|79962,ENSG00000178401,DNAJC22,79962,12,-1.4,3.1e-05,0.0036
PRPF3|9129,ENSG00000117360,PRPF3,9129,1,-0.31,3.1e-05,0.0036
RAD51C|5889,ENSG00000108384,RAD51C,5889,17,-0.29,3.2e-05,0.0037
NUCB1|4924,ENSG00000104805,NUCB1,4924,19,0.29,3.3e-05,0.0037
TMEFF1|8577,ENSG00000241697,TMEFF1,8577,9,-0.54,3.4e-05,0.0038
CCKBR|887,ENSG00000110148,CCKBR,887,11,-1.4,3.5e-05,0.004
TTC30B|150737,ENSG00000196659,TTC30B,150737,2,-0.45,3.7e-05,0.0041
NUP62CL|54830,ENSG00000198088,NUP62CL,54830,X,-1,3.9e-05,0.0042
C6orf27|80737,ENSG00000223757,VWA7,80737,CHR_HSCHR6_MHC_MCF_CTG1,-1,3.9e-05,0.0042
DPY19L2P2|349152,ENSG00000170629,DPY19L2P2,349152,7,-0.84,3.9e-05,0.0042
LOH3CR2A|29931,NA,NA,NA,NA,0.75,3.9e-05,0.0043
DDX52|11056,ENSG00000277594,DDX52,11056,CHR_HSCHR17_7_CTG4,-0.24,4.1e-05,0.0044
FAM131A|131408,ENSG00000175182,FAM131A,131408,3,-0.41,4.1e-05,0.0044
HAND2|9464,ENSG00000164107,HAND2,9464,4,-1.8,4.2e-05,0.0045
CYP24A1|1591,ENSG00000019186,CYP24A1,1591,20,-1.5,4.3e-05,0.0045
UBA1|7317,ENSG00000130985,UBA1,7317,X,-0.24,4.3e-05,0.0045
NXPH2|11249,ENSG00000144227,NXPH2,11249,2,-1.5,4.3e-05,0.0045
ATRNL1|26033,ENSG00000107518,ATRNL1,26033,10,-1.4,4.4e-05,0.0045
MVP|9961,ENSG00000013364,MVP,9961,16,0.55,4.4e-05,0.0045
CCDC14|64770,ENSG00000175455,CCDC14,64770,3,-0.44,4.5e-05,0.0046
LOC148709|148709,ENSG00000234996,,148709,1,-0.86,4.5e-05,0.0046
ANKRD57|65124,ENSG00000198142,SOWAHC,65124,2,-0.52,4.6e-05,0.0046
RNF115|27246,ENSG00000265491,RNF115,27246,1,-0.42,4.8e-05,0.0048
ZNF878|729747,ENSG00000257446,ZNF878,729747,19,-0.61,4.9e-05,0.0048
MAP2K3|5606,ENSG00000034152,MAP2K3,5606,17,0.38,4.9e-05,0.0048
MSH6|2956,ENSG00000116062,MSH6,2956,2,-0.31,5e-05,0.0049
MTFMT|123263,ENSG00000103707,MTFMT,123263,15,-0.25,5e-05,0.0049
PDGFB|5155,ENSG00000100311,PDGFB,5155,22,0.59,5e-05,0.0049
C15orf41|84529,ENSG00000186073,C15orf41,84529,15,-0.54,5.1e-05,0.0049
CDCA7L|55536,ENSG00000164649,CDCA7L,55536,7,-0.7,5.2e-05,0.0049
TIPIN|54962,ENSG00000075131,TIPIN,54962,15,-0.34,5.2e-05,0.0049
C10orf32|119032,ENSG00000166275,BORCS7,119032,10,0.4,5.2e-05,0.0049
PLK3|1263,ENSG00000173846,PLK3,1263,1,0.5,5.3e-05,0.005
SNAPIN|23557,ENSG00000143553,SNAPIN,23557,1,-0.27,5.3e-05,0.005
RNF144B|255488,ENSG00000137393,RNF144B,255488,6,0.58,5.3e-05,0.005
C13orf33|84935,ENSG00000102802,MEDAG,84935,13,1.4,5.4e-05,0.005
MTX2|10651,ENSG00000128654,MTX2,10651,2,-0.28,5.4e-05,0.005
DCUN1D1|54165,ENSG00000043093,DCUN1D1,54165,3,-0.32,5.5e-05,0.005
TBC1D10A|83874,ENSG00000099992,TBC1D10A,83874,22,0.39,5.5e-05,0.0051
KIAA1267|284058,ENSG00000120071,KANSL1,284058,17,-0.34,5.6e-05,0.0051
SV2A|9900,ENSG00000159164,SV2A,9900,1,-1.2,5.6e-05,0.0051
FHDC1|85462,ENSG00000137460,FHDC1,85462,4,1.1,5.7e-05,0.0051
EZH2|2146,ENSG00000106462,EZH2,2146,7,-0.59,5.7e-05,0.0051
GNB5|10681,ENSG00000069966,GNB5,10681,15,-0.44,5.8e-05,0.0051
TUBD1|51174,ENSG00000108423,TUBD1,51174,17,-0.33,5.8e-05,0.0051
GTF2H2C|728340,ENSG00000183474,GTF2H2C,728340,5,-0.36,5.8e-05,0.0051
INPP5D|3635,ENSG00000168918,INPP5D,3635,2,0.72,5.9e-05,0.0051
ABI2|10152,ENSG00000138443,ABI2,10152,2,-0.35,5.9e-05,0.0051
SRGN|5552,ENSG00000122862,SRGN,5552,10,0.84,5.9e-05,0.0051
CHAF1B|8208,ENSG00000159259,CHAF1B,8208,21,-0.53,5.9e-05,0.0051
FIGNL1|63979,ENSG00000132436,FIGNL1,63979,7,-0.41,6e-05,0.0051
FAM82A2|55177,ENSG00000137824,RMDN3,55177,15,-0.24,6.1e-05,0.0052
FANCE|2178,ENSG00000112039,FANCE,2178,6,-0.53,6.1e-05,0.0052
MFNG|4242,ENSG00000100060,MFNG,4242,22,0.67,6.2e-05,0.0052
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.3,6.4e-05,0.0054
MGAT1|4245,ENSG00000131446,MGAT1,4245,5,0.32,6.7e-05,0.0056
ARPP19|10776,ENSG00000128989,ARPP19,10776,15,-0.37,6.8e-05,0.0056
MCM2|4171,ENSG00000073111,MCM2,4171,3,-0.52,6.8e-05,0.0056
C9orf172|389813,ENSG00000232434,C9orf172,389813,9,-1,7e-05,0.0057
TSPAN31|6302,ENSG00000135452,TSPAN31,6302,12,0.95,7e-05,0.0057
FAM5B|57795,ENSG00000198797,BRINP2,57795,1,-1.3,7.1e-05,0.0058
ADH1C|126,ENSG00000248144,ADH1C,126,4,1.8,7.1e-05,0.0058
TYMP|1890,ENSG00000025708,TYMP,1890,22,0.82,7.2e-05,0.0058
PECAM1|5175,ENSG00000261371,PECAM1,5175,17,0.59,7.2e-05,0.0058
ABCA6|23460,ENSG00000154262,ABCA6,23460,17,1.4,7.2e-05,0.0058
SH3TC1|54436,ENSG00000125089,SH3TC1,54436,4,0.69,7.3e-05,0.0058
SAP130|79595,ENSG00000136715,SAP130,79595,2,-0.24,7.4e-05,0.0058
MYO19|80179,ENSG00000278372,MYO19,80179,CHR_HSCHR17_7_CTG4,-0.4,7.5e-05,0.0059
PKP4|8502,ENSG00000144283,PKP4,8502,2,-0.33,7.5e-05,0.0059
INE1|8552,ENSG00000224975,INE1,8552,X,-0.6,7.6e-05,0.0059
TBCE|6905,ENSG00000116957,TBCE,6905,1,-0.27,7.8e-05,0.006
WDR81|124997,ENSG00000167716,WDR81,124997,17,0.39,7.8e-05,0.006
ZNF835|90485,ENSG00000127903,ZNF835,90485,19,-0.96,7.9e-05,0.0061
SLC39A11|201266,ENSG00000282291,SLC39A11,201266,CHR_HSCHR17_9_CTG4,0.44,8.1e-05,0.0061
SRPK1|6732,ENSG00000096063,SRPK1,6732,6,-0.33,8.1e-05,0.0061
CXADR|1525,ENSG00000154639,CXADR,1525,21,-1.3,8.2e-05,0.0061
PLAC9|219348,ENSG00000189129,PLAC9,219348,10,1.4,8.2e-05,0.0061
TNNT3|7140,ENSG00000130595,TNNT3,7140,11,1.8,8.2e-05,0.0061
SILV|6490,ENSG00000185664,PMEL,6490,12,-1,8.3e-05,0.0062
ZCCHC12|170261,ENSG00000174460,ZCCHC12,170261,X,-1.1,8.3e-05,0.0062
WISP2|8839,ENSG00000064205,WISP2,8839,20,1.7,8.5e-05,0.0063
COIL|8161,ENSG00000121058,COIL,8161,17,-0.22,8.6e-05,0.0063
JUB|84962,ENSG00000129474,AJUBA,84962,14,-0.63,8.6e-05,0.0063
WDR76|79968,ENSG00000092470,WDR76,79968,15,-0.61,8.6e-05,0.0063
ECM2|1842,ENSG00000106823,ECM2,1842,9,0.88,8.8e-05,0.0064
CTSL2|1515,ENSG00000136943,CTSV,1515,9,-1.2,8.8e-05,0.0064
SLC1A7|6512,ENSG00000162383,SLC1A7,6512,1,1.3,9e-05,0.0065
TMEM27|57393,ENSG00000147003,TMEM27,57393,X,-0.77,9.1e-05,0.0065
GMFG|9535,ENSG00000130755,GMFG,9535,19,0.77,9.3e-05,0.0067
TUBGCP4|27229,ENSG00000137822,TUBGCP4,27229,15,-0.4,9.5e-05,0.0067
MAST1|22983,ENSG00000105613,MAST1,22983,19,-0.99,9.5e-05,0.0067
TP53BP1|7158,ENSG00000067369,TP53BP1,7158,15,-0.34,9.7e-05,0.0067
HCN3|57657,ENSG00000143630,HCN3,57657,1,-0.48,9.7e-05,0.0067
WASF1|8936,ENSG00000112290,WASF1,8936,6,-0.56,9.7e-05,0.0067
IPO9|55705,ENSG00000198700,IPO9,55705,1,-0.29,9.7e-05,0.0067
ANP32E|81611,ENSG00000143401,ANP32E,81611,1,-0.35,9.7e-05,0.0067
CDH3|1001,ENSG00000062038,CDH3,1001,16,-1.7,9.7e-05,0.0067
SLC27A6|28965,ENSG00000113396,SLC27A6,28965,5,-1.4,9.8e-05,0.0067
MTMR15|22909,ENSG00000276787,FAN1,22909,CHR_HSCHR15_4_CTG8,-0.35,9.9e-05,0.0068
XPO1|7514,ENSG00000082898,XPO1,7514,2,-0.22,1e-04,0.0068
OS9|10956,ENSG00000135506,OS9,10956,12,0.71,1e-04,0.0068
FLVCR1|28982,ENSG00000162769,FLVCR1,28982,1,-0.48,1e-04,0.0068
LOC730101|730101,NA,NA,NA,NA,-0.69,1e-04,0.0068
RPRML|388394,ENSG00000179673,RPRML,388394,17,-1.1,1e-04,0.0069
HCFC1|3054,ENSG00000172534,HCFC1,3054,X,-0.24,1e-04,0.0069
BRIP1|83990,ENSG00000136492,BRIP1,83990,17,-0.87,0.00011,0.007
DCAKD|79877,ENSG00000172992,DCAKD,79877,17,-0.33,0.00011,0.0072
DHX9|1660,ENSG00000135829,DHX9,1660,1,-0.23,0.00011,0.0072
PDPN|10630,ENSG00000162493,PDPN,10630,1,1.7,0.00011,0.0072
CD28|940,ENSG00000178562,CD28,940,2,0.8,0.00011,0.0072
C1R|715,ENSG00000159403,C1R,715,12,0.77,0.00011,0.0072
CACYBP|27101,ENSG00000116161,CACYBP,27101,1,-0.28,0.00011,0.0074
EGF|1950,ENSG00000138798,EGF,1950,4,-1.4,0.00011,0.0074
SPIRE2|84501,ENSG00000204991,SPIRE2,84501,16,-0.72,0.00011,0.0074
ITPKC|80271,ENSG00000086544,ITPKC,80271,19,0.34,0.00012,0.0075
SBK1|388228,ENSG00000188322,SBK1,388228,16,-1.1,0.00012,0.0075
RHBDL3|162494,ENSG00000141314,RHBDL3,162494,17,-1.1,0.00012,0.0076
PCP4|5121,ENSG00000183036,PCP4,5121,21,-2.3,0.00012,0.0076
SH3GLB1|51100,ENSG00000097033,SH3GLB1,51100,1,0.3,0.00012,0.0076
MDH1B|130752,ENSG00000138400,MDH1B,130752,2,-0.8,0.00012,0.0076
MFSD1|64747,ENSG00000118855,MFSD1,64747,3,0.4,0.00012,0.0076
RNASE6|6039,ENSG00000169413,RNASE6,6039,14,0.84,0.00012,0.0076
OPN4|94233,ENSG00000122375,OPN4,94233,10,1,0.00012,0.0077
C6orf186|728464,ENSG00000053328,METTL24,728464,6,-1.4,0.00012,0.0077
CCDC45|90799,ENSG00000258890,CEP95,90799,17,-0.3,0.00013,0.008
PCSK1N|27344,ENSG00000102109,PCSK1N,27344,X,-1.6,0.00013,0.0081
OSGEPL1|64172,ENSG00000128694,OSGEPL1,64172,2,-0.3,0.00013,0.0081
SPDYE6|729597,ENSG00000260097,SPDYE6,729597,7,-0.5,0.00013,0.0081
MMP19|4327,ENSG00000123342,MMP19,4327,12,0.69,0.00013,0.0081
DONSON|29980,ENSG00000159147,DONSON,29980,21,-0.39,0.00013,0.0081
ARHGAP18|93663,ENSG00000146376,ARHGAP18,93663,6,0.54,0.00013,0.0081
KIAA0907|22889,ENSG00000132680,KIAA0907,22889,1,-0.33,0.00014,0.0085
IL17RD|54756,ENSG00000144730,IL17RD,54756,3,-0.91,0.00014,0.0086
ACAT2|39,ENSG00000120437,ACAT2,39,6,-0.42,0.00014,0.0086
KNTC1|9735,ENSG00000184445,KNTC1,9735,12,-0.46,0.00014,0.0086
ARFRP1|10139,ENSG00000101246,ARFRP1,10139,20,0.34,0.00015,0.0088
C10orf10|11067,ENSG00000165507,C10orf10,11067,10,0.89,0.00015,0.0088
GPR89B|51463,ENSG00000188092,GPR89B,51463,1,-0.69,0.00015,0.0089
FANCL|55120,ENSG00000115392,FANCL,55120,2,-0.34,0.00015,0.009
DPYSL5|56896,ENSG00000157851,DPYSL5,56896,2,-1.7,0.00015,0.009
MAP1LC3B|81631,ENSG00000140941,MAP1LC3B,81631,16,0.28,0.00015,0.009
PIAS2|9063,ENSG00000078043,PIAS2,9063,18,-0.32,0.00015,0.009
COL4A6|1288,ENSG00000197565,COL4A6,1288,X,-2,0.00015,0.009
PLAUR|5329,ENSG00000011422,PLAUR,5329,19,0.93,0.00016,0.009
SLC7A4|6545,ENSG00000099960,SLC7A4,6545,22,1.4,0.00016,0.009
USP9X|8239,ENSG00000124486,USP9X,8239,X,-0.3,0.00016,0.009
ICAM1|3383,ENSG00000090339,ICAM1,3383,19,0.75,0.00016,0.009
CFD|1675,ENSG00000274619,CFD,1675,CHR_HSCHR19_5_CTG2,1.3,0.00016,0.0091
KCNN2|3781,ENSG00000080709,KCNN2,3781,5,-0.98,0.00016,0.0091
EP400|57634,ENSG00000183495,EP400,57634,12,-0.28,0.00016,0.0091
RIMS1|22999,ENSG00000079841,RIMS1,22999,6,-1.4,0.00016,0.0091
NAV2|89797,ENSG00000166833,NAV2,89797,11,-0.74,0.00016,0.0092
MAPKBP1|23005,ENSG00000137802,MAPKBP1,23005,15,-0.44,0.00016,0.0092
LOC90246|90246,NA,NA,NA,NA,-0.88,0.00017,0.0092
NBEA|26960,ENSG00000172915,NBEA,26960,13,-0.85,0.00017,0.0093
PRDX6|9588,ENSG00000117592,PRDX6,9588,1,-0.44,0.00017,0.0093
TNFRSF10C|8794,ENSG00000173535,TNFRSF10C,8794,8,0.68,0.00017,0.0093
TDRD6|221400,ENSG00000180113,TDRD6,221400,6,-0.73,0.00017,0.0093
SPARC|6678,ENSG00000113140,SPARC,6678,5,0.67,0.00017,0.0093
KHDC1|80759,ENSG00000135314,KHDC1,80759,6,-0.67,0.00017,0.0093
PLAU|5328,ENSG00000122861,PLAU,5328,10,0.96,0.00017,0.0093
PGAM5|192111,ENSG00000247077,PGAM5,192111,12,-0.32,0.00017,0.0093
ATAD5|79915,ENSG00000176208,ATAD5,79915,17,-0.53,0.00017,0.0094
C21orf58|54058,ENSG00000160298,C21orf58,54058,21,-0.56,0.00018,0.0095
AGBL5|60509,ENSG00000084693,AGBL5,60509,2,-0.36,0.00018,0.0095
RFC3|5983,ENSG00000133119,RFC3,5983,13,-0.4,0.00018,0.0095
