ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
TFDP2|7029,ENSG00000114126,TFDP2,7029,3,0.49,1.1e-07,2.8e-05
LCE3E|353145,ENSG00000185966,LCE3E,353145,1,-1.9,1.2e-07,3.2e-05
ZC3HAV1|56829,ENSG00000105939,ZC3HAV1,56829,7,-0.31,1.4e-07,3.5e-05
TCTN2|79867,ENSG00000168778,TCTN2,79867,12,0.4,1.4e-07,3.5e-05
XG|7499,ENSG00000124343,XG,7499,X,-0.71,1.6e-07,4e-05
DNMT3A|1788,ENSG00000119772,DNMT3A,1788,2,0.41,1.7e-07,4.1e-05
ARRDC4|91947,ENSG00000140450,ARRDC4,91947,15,-0.67,1.9e-07,4.6e-05
C7orf13|129790,ENSG00000182648,LINC01006,129790,7,0.9,2.1e-07,5e-05
ARSD|414,ENSG00000006756,ARSD,414,X,-0.49,2.4e-07,5.5e-05
RFC4|5984,ENSG00000163918,RFC4,5984,3,0.47,2.4e-07,5.5e-05
CCDC120|90060,ENSG00000147144,CCDC120,90060,X,-0.46,2.5e-07,5.5e-05
ZNF2|7549,ENSG00000275111,ZNF2,7549,2,0.26,2.5e-07,5.5e-05
KRT6C|286887,ENSG00000170465,KRT6C,286887,12,-1.3,2.5e-07,5.5e-05
CCDC74A|90557,ENSG00000163040,CCDC74A,90557,2,0.88,2.5e-07,5.5e-05
AP3M2|10947,ENSG00000070718,AP3M2,10947,8,0.44,2.6e-07,5.5e-05
CXorf38|159013,ENSG00000185753,CXorf38,159013,X,-0.31,2.7e-07,5.7e-05
DYNC1LI1|51143,ENSG00000144635,DYNC1LI1,51143,3,-0.21,2.9e-07,6.1e-05
RAB5A|5868,ENSG00000144566,RAB5A,5868,3,-0.27,3e-07,6.1e-05
SAMD9|54809,ENSG00000205413,SAMD9,54809,7,-0.8,3e-07,6.1e-05
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.37,3e-07,6.1e-05
EIF4A2|1974,ENSG00000156976,EIF4A2,1974,3,0.42,3.2e-07,6.4e-05
ARMCX6|54470,ENSG00000198960,ARMCX6,54470,X,0.76,3.5e-07,7e-05
HYAL1|3373,ENSG00000114378,HYAL1,3373,3,-0.63,3.7e-07,7.1e-05
KRTCAP3|200634,ENSG00000157992,KRTCAP3,200634,2,1.1,3.8e-07,7.3e-05
CASP4|837,ENSG00000196954,CASP4,837,11,-0.5,4.2e-07,8e-05
YBX2|51087,ENSG00000006047,YBX2,51087,17,1.5,4.3e-07,8.1e-05
OXSR1|9943,ENSG00000172939,OXSR1,9943,3,-0.31,4.5e-07,8.3e-05
LOC678655|678655,ENSG00000215039,CD27-AS1,678655,12,0.49,4.7e-07,8.8e-05
TJAP1|93643,ENSG00000137221,TJAP1,93643,6,0.31,4.9e-07,8.9e-05
UBXN11|91544,ENSG00000158062,UBXN11,91544,1,0.53,5e-07,8.9e-05
GCDH|2639,ENSG00000105607,GCDH,2639,19,0.3,5e-07,8.9e-05
