ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
HDHD1A|8226,ENSG00000130021,PUDP,8226,X,-0.59,1.7e-09,1e-06
CLEC10A|10462,ENSG00000132514,CLEC10A,10462,17,-1.1,3.7e-09,2.2e-06
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.4,1.1e-08,6e-06
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.34,1.2e-08,6.8e-06
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.4,2.3e-08,1.2e-05
KDM6A|7403,ENSG00000147050,KDM6A,7403,X,-0.43,2.6e-08,1.4e-05
RPS4X|6191,ENSG00000198034,RPS4X,6191,X,-0.37,4.2e-08,2.1e-05
AP1S2|8905,ENSG00000182287,AP1S2,8905,X,-0.48,9.6e-08,4.6e-05
ARSD|414,ENSG00000006756,ARSD,414,X,-0.52,1.2e-07,5.7e-05
DDX43|55510,ENSG00000080007,DDX43,55510,6,1.5,2.2e-07,1e-04
TXLNG|55787,ENSG00000086712,TXLNG,55787,X,-0.35,5.8e-07,0.00026
GEMIN8|54960,ENSG00000046647,GEMIN8,54960,X,-0.33,6.7e-07,0.00029
PDK4|5166,ENSG00000004799,PDK4,5166,7,-0.97,8.5e-07,0.00036
CHM|1121,ENSG00000188419,CHM,1121,X,-0.29,8.9e-07,0.00037
FUT7|2529,ENSG00000180549,FUT7,2529,9,-0.7,1.5e-06,0.00059
USP9X|8239,ENSG00000124486,USP9X,8239,X,-0.27,1.6e-06,0.00063
PCDHA10|56139,ENSG00000250120,PCDHA10,56139,5,-1.1,1.8e-06,7e-04
TCEANC|170082,ENSG00000176896,TCEANC,170082,X,-0.34,2.3e-06,0.00087
OFD1|8481,ENSG00000046651,OFD1,8481,X,-0.35,3e-06,0.0011
FLT3|2322,ENSG00000122025,FLT3,2322,13,-0.85,3.2e-06,0.0011
HLA-DQB2|3120,ENSG00000232629,HLA-DQB2,3120,6,-0.92,3.2e-06,0.0011
RASSF4|83937,ENSG00000107551,RASSF4,83937,10,-0.56,3.7e-06,0.0013
PHC2|1912,ENSG00000134686,PHC2,1912,1,-0.32,3.8e-06,0.0013
CD1B|910,ENSG00000158485,CD1B,910,1,-0.91,3.9e-06,0.0013
FCGR2C|9103,ENSG00000143226,FCGR2A,9103,1,-0.69,4.2e-06,0.0014
CTPS2|56474,ENSG00000047230,CTPS2,56474,X,-0.31,4.4e-06,0.0014
AEBP2|121536,ENSG00000139154,AEBP2,121536,12,0.3,4.6e-06,0.0015
LOC653653|653653,ENSG00000280852,,653653,17,-0.45,5.7e-06,0.0018
SLC37A1|54020,ENSG00000160190,SLC37A1,54020,21,-0.45,5.8e-06,0.0018
S100B|6285,ENSG00000160307,S100B,6285,21,-0.78,6.6e-06,0.0019
FCGR2B|2213,ENSG00000072694,FCGR2B,2213,1,-0.73,6.7e-06,0.0019
CEACAM4|1089,ENSG00000274131,CEACAM4,1089,CHR_HSCHR19_3_CTG3_1,-0.72,6.7e-06,0.0019
CCR7|1236,ENSG00000126353,CCR7,1236,17,-0.73,7.9e-06,0.0022
NCRNA00183|554203,ENSG00000225470,JPX,554203,X,-0.26,9.5e-06,0.0026
SMAP2|64744,ENSG00000084070,SMAP2,64744,1,-0.36,9.7e-06,0.0027
NLRC4|58484,ENSG00000091106,NLRC4,58484,2,-0.51,1e-05,0.0028
FOXA2|3170,ENSG00000125798,FOXA2,3170,20,-1.1,1.4e-05,0.0036
IL18BP|10068,ENSG00000137496,IL18BP,10068,11,-0.39,1.4e-05,0.0036
PNPLA4|8228,ENSG00000006757,PNPLA4,8228,X,-0.44,1.4e-05,0.0036
MAP1LC3C|440738,ENSG00000197769,MAP1LC3C,440738,1,-0.78,1.5e-05,0.0039
