,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
MLLT11|10962,ENSG00000213190,MLLT11,10962,1,-1.1,2.4e-09,3.4e-07
MAMSTR|284358,ENSG00000176909,MAMSTR,284358,19,-0.81,2.4e-09,3.4e-07
TRAM2|9697,ENSG00000065308,TRAM2,9697,6,-0.76,2.5e-09,3.4e-07
CPNE7|27132,ENSG00000178773,CPNE7,27132,16,2,2.6e-09,3.6e-07
SYT11|23208,ENSG00000132718,SYT11,23208,1,-1.1,2.6e-09,3.6e-07
ZAK|51776,ENSG00000091436,,51776,2,-0.74,2.7e-09,3.7e-07
URGCP|55665,ENSG00000106608,URGCP,55665,7,0.48,2.8e-09,3.8e-07
TLE6|79816,ENSG00000104953,TLE6,79816,19,-1.6,3.3e-09,4.5e-07
MARVELD3|91862,ENSG00000140832,MARVELD3,91862,16,0.94,3.4e-09,4.5e-07
SHMT1|6470,ENSG00000176974,SHMT1,6470,17,0.81,3.5e-09,4.6e-07
ZBED1|9189,ENSG00000214717,ZBED1,9189,X,-0.52,4e-09,5.1e-07
PRSSL1|400668,ENSG00000185198,PRSS57,400668,19,1.4,4e-09,5.1e-07
FLNA|2316,ENSG00000196924,FLNA,2316,X,-0.79,4e-09,5.1e-07
NARFL|64428,ENSG00000103245,NARFL,64428,16,0.55,4.1e-09,5.2e-07
C1orf210|149466,ENSG00000253313,C1orf210,149466,1,1.3,4.5e-09,5.7e-07
HAGHL|84264,ENSG00000103253,HAGHL,84264,16,1.4,4.8e-09,6.1e-07
LHX1|3975,ENSG00000274577,LHX1,3975,CHR_HSCHR17_7_CTG4,-2.2,4.9e-09,6.2e-07
SHISA4|149345,ENSG00000198892,SHISA4,149345,1,-0.64,5e-09,6.3e-07
WFS1|7466,ENSG00000109501,WFS1,7466,4,-0.62,5.1e-09,6.3e-07
GPHA2|170589,ENSG00000149735,GPHA2,170589,11,1.5,5.2e-09,6.4e-07
FAM150B|285016,ENSG00000189292,FAM150B,285016,2,1.9,5.3e-09,6.5e-07
CTPS2|56474,ENSG00000047230,CTPS2,56474,X,-0.37,5.4e-09,6.6e-07
ZFX|7543,ENSG00000005889,ZFX,7543,X,-0.67,5.7e-09,6.8e-07
GEMIN8|54960,ENSG00000046647,GEMIN8,54960,X,-0.36,5.9e-09,7e-07
ISPD|729920,ENSG00000214960,ISPD,729920,7,1.1,6.2e-09,7.3e-07
SLC25A6|293,ENSG00000169100,SLC25A6,293,X,-0.58,6.6e-09,7.7e-07
GPER|2852,ENSG00000164850,GPER1,2852,7,1.4,6.6e-09,7.7e-07
RNASET2|8635,ENSG00000026297,RNASET2,8635,6,0.94,7.2e-09,8.3e-07
CUL4B|8450,ENSG00000158290,CUL4B,8450,X,-0.33,8e-09,9.2e-07
MORC4|79710,ENSG00000133131,MORC4,79710,X,-0.6,8.1e-09,9.2e-07
SLC22A2|6582,ENSG00000112499,SLC22A2,6582,6,2.7,8.4e-09,9.5e-07
HPRT1|3251,ENSG00000165704,HPRT1,3251,X,-0.5,8.8e-09,9.9e-07
HNF1A|6927,ENSG00000135100,HNF1A,6927,12,1.1,9.4e-09,1e-06
KIAA2022|340533,ENSG00000050030,KIAA2022,340533,X,-1.7,9.4e-09,1e-06
LBX2|85474,ENSG00000179528,LBX2,85474,2,1.2,9.8e-09,1.1e-06
WFDC12|128488,ENSG00000168703,WFDC12,128488,20,2.5,9.8e-09,1.1e-06
ENTPD8|377841,ENSG00000188833,ENTPD8,377841,9,1.5,9.9e-09,1.1e-06
NUDT6|11162,ENSG00000170917,NUDT6,11162,4,0.62,1e-08,1.1e-06
ZNF541|84215,ENSG00000118156,ZNF541,84215,19,1.8,1.1e-08,1.1e-06
MLXIPL|51085,ENSG00000009950,MLXIPL,51085,7,1.6,1.1e-08,1.2e-06
MYL3|4634,ENSG00000160808,MYL3,4634,3,2,1.1e-08,1.2e-06
AZGP1|563,ENSG00000160862,AZGP1,563,7,2.4,1.2e-08,1.2e-06
CHN1|1123,ENSG00000128656,CHN1,1123,2,-1,1.2e-08,1.2e-06
HRASLS2|54979,ENSG00000133328,HRASLS2,54979,11,1.6,1.2e-08,1.2e-06
